
a	 : 2
no.statoil	 : 3
no.stordlh	 : 1
no.svglh	 : 4
no.tdh	 : 3
no.telenor	 : 3
no.telenor.origo	 : 2
no.telepost	 : 5
no.tisip	 : 1
no.transpoecon	 : 1
no.trdkunst	 : 2
no.tv2	 : 2
no.uib	 : 5
no.uib.ahh	 : 1
no.uib.gfi	 : 4
no.uib.hf	 : 1
no.uib.hf-fak	 : 3
no.uib.ifi	 : 2
no.uib.ifm	 : 1
no.uib.ipp	 : 1
no.uib.mbl	 : 1
no.uib.mi	 : 1
no.uib.pki	 : 1
no.uib.svf	 : 3
no.uib.ubb	 : 2
no.uib.ums	 : 4
no.uib.zi	 : 1
no.uio	 : 5
no.uio.ifi	 : 5
no.uit	 : 3
no.uit.chem	 : 1
no.uit.irv	 : 1
no.uit.mat-stat	 : 1
no.uit.nfh	 : 2
no.uit.sesam	 : 2
no.uninett	 : 3
no.uninett.or	 : 3
no.unit.alkymi	 : 2
no.unit.ark	 : 1
no.unit.avh	 : 4
no.unit.ed	 : 2
no.unit.elkraft	 : 1
no.unit.fm	 : 1
no.unit.groo	 : 3
no.unit.idt	 : 3
no.unit.itk	 : 3
no.unit.ivb	 : 1
no.unit.marina	 : 3
no.unit.mnfak	 : 3
no.unit.ntub	 : 2
no.unit.petra	 : 1
no.unit.phys	 : 2
no.unit.stud	 : 5
no.unit.tele	 : 2
no.unit.ubt	 : 1
no.va.gms	 : 3
no.vestdata	 : 1
no.vestfoldsh	 : 1
no.vgs.bergen-handels	 : 1
no.vgs.bergen-mar	 : 2
no.vgs.danielsen	 : 1
no.vgs.fosen	 : 1
no.vgs.hav	 : 2
no.vgs.hvag	 : 2
no.vgs.kvaloya	 : 1
no.vgs.lindas	 : 1
no.vgs.odda	 : 1
no.vgs.ole-vig	 : 1
no.vgs.romsdal	 : 1
no.vgs.stavanger-tekniske	 : 1
no:	 : 2
nobel	 : 7
nobel's	 : 1
nobel-dijat.	 : 1
nobel-dijra.	 : 1
nobility	 : 5
nobility,	 : 2
nobleman	 : 1
noblemen	 : 1
nobles	 : 1
noblia	 : 1
nobody	 : 3
nobuo	 : 1
node	 : 6
node,	 : 1
nodes	 : 3
noe	 : 1
noel	 : 1
nograd	 : 1
nogradban.	 : 1
nogyogyasz,	 : 1
noha	 : 14
nohaorbaneknak,	 : 1
nohatestunknek	 : 1
noi	 : 9
noi,	 : 1
noir**	 : 1
noise	 : 8
noise**	 : 1
noise,	 : 2
noises,	 : 1
nojon	 : 1
nok	 : 8
nok,	 : 1
noke	 : 2
nokent	 : 1
noket	 : 1
nokia	 : 6
nokia's	 : 3
nokia,	 : 1
nolan	 : 5
nolan|	 : 1
nolen	 : 1
nolen**	 : 1
nolonger	 : 1
nombrado	 : 1
nombramiento	 : 1
nombre,	 : 1
nomenklatura	 : 2
nomenklatura,	 : 1
nomenklatura.	 : 1
nominal	 : 9
nominal**	 : 1
nominal.	 : 1
nominales	 : 1
nominated	 : 4
nominates	 : 1
nominating	 : 1
nomination	 : 6
nomination**.	 : 2
nomination,	 : 1
nomination.	 : 2
nominations	 : 1
nominations,	 : 1
nominee	 : 1
nominee.	 : 1
nomis	 : 1
non	 : 8
non-	 : 12
non-aligned	 : 1
non-alignment	 : 1
non-arabic,	 : 1
non-balance	 : 1
non-being	 : 1
non-business	 : 1
non-commercial	 : 4
non-commercial,	 : 2
non-communist	 : 2
non-compliance	 : 1
non-conformity	 : 2
non-conventional	 : 4
non-coverage	 : 1
non-day	 : 1
non-destructive	 : 1
non-directive	 : 2
non-display	 : 2
non-durable	 : 1
non-ec	 : 1
non-egocentricity	 : 1
non-elderly	 : 2
non-established	 : 1
non-existent	 : 1
non-fiction	 : 1
non-fiction.	 : 1
non-forested	 : 1
non-functional	 : 2
non-functional,	 : 1
non-government	 : 2
non-governmental	 : 2
non-graded	 : 2
non-handicapped	 : 2
non-health	 : 1
non-health,	 : 1
non-human	 : 1
non-humanistic	 : 1
non-infectious	 : 1
non-intrusive	 : 1
non-involvement	 : 1
non-italian	 : 1
non-joint	 : 1
non-judgement	 : 1
non-labeled	 : 1
non-linear	 : 2
non-marketing	 : 1
non-material	 : 1
non-metallic	 : 2
non-minority	 : 1
non-motorized	 : 1
non-nuclear	 : 2
non-paradoxical	 : 1
non-polluting	 : 1
non-profit	 : 10
non-profitability	 : 1
non-proliferation	 : 3
non-proliferation,	 : 1
non-public	 : 1
non-reader**	 : 1
non-reality	 : 1
non-seeded	 : 1
non-serb	 : 1
non-sexist	 : 1
non-smokers	 : 1
non-smokers**	 : 1
non-social	 : 2
non-space	 : 1
non-specific	 : 1
non-specifity	 : 1
non-surge	 : 1
non-tariff	 : 1
non-technical	 : 2
non-text	 : 1
non-toxic	 : 2
non-u.s.	 : 2
non-union	 : 2
non-verbal	 : 3
non-violence,	 : 1
non-violence.	 : 1
non-violence:	 : 1
non-violent	 : 1
non-violent.	 : 1
non-violently	 : 1
non-wage	 : 1
non-working	 : 1
noname.nemzet@magyar.siliconvalley.comszerkesztosegnek:	 : 20
noncombustible	 : 1
noncommercial	 : 2
noncontrollable	 : 1
nondurable	 : 1
nondurables	 : 1
none	 : 9
none,	 : 1
nonek	 : 1
nonek,	 : 1
nonek.	 : 1
nonetheless	 : 4
nonetheless,	 : 5
nonfiction	 : 1
nongnuj	 : 1
nongovernmental	 : 1
nonlinear	 : 5
nonmembership	 : 1
nonmilitary	 : 1
nonpartisan,	 : 2
nonpoisonous	 : 1
nonprofit	 : 34
nonrecognition	 : 1
nonrigid	 : 1
nonsense!please	 : 1
nonsimultaneous	 : 1
nonszensz!][az	 : 1
nontechnical	 : 2
nonverbal	 : 1
nonviolent	 : 2
noodle	 : 1
noodles	 : 2
nooksack	 : 1
noon	 : 1
noon.	 : 1
nopoint"	 : 1
nopower	 : 1
noprogress	 : 1
nor	 : 16
nora	 : 5
norbert	 : 1
norbi,	 : 1
nord	 : 1
nordex	 : 16
nordex,	 : 2
nordex-owned	 : 1
nordex.	 : 2
nordic	 : 1
nordictel	 : 1
nordin,	 : 1
noreste	 : 2
nori	 : 2
norling-christensen	 : 1
norm,	 : 2
norma	 : 8
normai	 : 1
normaink,	 : 1
normaiszerint	 : 1
normait	 : 2
normait.	 : 1
normaival,	 : 1
normak	 : 3
normakat	 : 2
normakbol	 : 1
normakfelbomlasztasaval	 : 1
normakontrollra,	 : 2
normal	 : 34
normal,	 : 1
normal.	 : 4
normale	 : 1
normales	 : 1
normalis	 : 12
normalisabb	 : 1
normalisesz.	 : 1
normalismukodeset	 : 1
normalisnak	 : 1
normalisnak.	 : 1
normalisoktol	 : 1
normalizacion),	 : 1
normalizalasa	 : 1
normalized	 : 1
normalizing	 : 2
normally	 : 2
normally.	 : 1
normalmente	 : 1
norman	 : 11
normas	 : 5
normaszoveg,	 : 1
normat	 : 1
normativ	 : 3
normativakat	 : 1
norms	 : 2
norms,	 : 3
norms."	 : 1
noroccidental	 : 2
noroccidental,	 : 1
noroeste	 : 13
noroeste,	 : 2
noroeste.	 : 1
norris	 : 1
norrkopingbe,	 : 1
norsi-oil,	 : 1
norte	 : 10
norte,	 : 1
norte_	 : 1
norteamerica	 : 2
north	 : 111
north**	 : 1
north,	 : 1
north-	 : 2
north-south	 : 4
north-west	 : 2
north.	 : 4
northampton	 : 1
northeast	 : 2
northeaster	 : 1
northeasterlies	 : 1
northeasterly	 : 6
northeastern	 : 5
northerlies	 : 5
northerlies.	 : 2
northerly	 : 4
northern	 : 27
northward	 : 1
northwest	 : 8
northwest,	 : 3
northwesterly	 : 1
northwestern	 : 1
norton	 : 2
norvegia,	 : 2
norway	 : 11
norway**	 : 1
norway,	 : 2
norwegian	 : 2
norwegians	 : 1
norwich	 : 1
nos	 : 8
nos,	 : 15
nos,jo,	 : 1
nos,ketsegtelen,	 : 1
nos.	 : 1
nosa	 : 2
nose	 : 1
nosedive	 : 1
nosotros.	 : 1
nostromo,	 : 1
nosztalgia-agitaciot.	 : 1
nosztalgiaval.	 : 1
not	 : 746
not).	 : 1
not**	 : 1
not,	 : 5
not-for-profit	 : 2
not-guiltyverdict,	 : 1
not-so-young	 : 1
not.	 : 4
not."	 : 1
not?	 : 1
not?**	 : 1
nota	 : 7
nota:	 : 1
notable	 : 2
notable.	 : 1
notably	 : 8
notably,	 : 2
notagozata	 : 1
notagozata.	 : 1
notam	 : 1
notand	 : 1
notas	 : 5
note	 : 13
note,	 : 2
note.	 : 1
note:	 : 8
note:**	 : 1
notebook	 : 2
notebook,	 : 2
notebooks	 : 1
noted	 : 47
noted,	 : 2
noted.	 : 6
noted...	 : 1
noted.the	 : 1
noted:	 : 1
notepad...).	 : 1
notes	 : 104
notes,	 : 8
notes,"	 : 1
noteworthy	 : 3
notherlies	 : 1
nothing	 : 17
nothing".	 : 1
nothing**	 : 3
nothing,	 : 1
nothing.	 : 1
notice	 : 10
notice"	 : 1
notice.	 : 1
noticeable	 : 1
noticed	 : 5
notices	 : 1
notices.	 : 2
notificacion	 : 1
notificada	 : 1
notificados	 : 1
notification	 : 3
notified	 : 3
notified!	 : 1
notify	 : 1
noting	 : 114
notion	 : 12
notion"	 : 1
notions	 : 10
notmore	 : 1
notoppose	 : 1
notoriety	 : 1
notorious	 : 2
notorious,	 : 1
notoriously	 : 1
notorius	 : 1
notprepared	 : 1
notprevent	 : 1
notre	 : 2
nott	 : 8
nott)	 : 1
nott,	 : 2
nott.	 : 3
notta	 : 1
nottek	 : 2
nottheir	 : 1
notwithstanding	 : 3
nougyei	 : 1
noumenon,	 : 1
nourishment	 : 2
nov	 : 47
nov.	 : 6
nova	 : 1
nova,	 : 1
novajidranyi	 : 1
novak	 : 1
novalis	 : 1
novaya	 : 1
novekedes	 : 16
novekedes"	 : 2
novekedes.	 : 1
novekedes<<	 : 1
novekedesa	 : 1
novekedesbol	 : 1
novekedese	 : 3
novekedese,	 : 1
novekedese.	 : 2
novekedeseben	 : 1
novekedesebol	 : 1
novekedesenek	 : 1
novekedeset,	 : 2
novekedesevel	 : 2
novekedeshatasara	 : 1
novekedesi	 : 4
novekedesindulhat.	 : 1
novekedesnek	 : 2
novekedesre	 : 1
novekedessel,ami	 : 1
novekedest	 : 4
novekedest!]	 : 1
novekedest,	 : 1
novekedestes	 : 1
novekedett	 : 4
novekedett.	 : 1
novekedhetnek,	 : 2
novekedik	 : 1
novekedik,	 : 2
novekednek.	 : 1
novekedo	 : 1
novekedtek	 : 2
novekedtek.	 : 1
novekmeny?]	 : 1
novekszik	 : 4
novekszik,	 : 2
novekvo	 : 7
novekvoarakkal	 : 1
novekvoszamu	 : 1
novel	 : 59
novel's	 : 1
novel**	 : 7
novel,	 : 10
novel.	 : 16
novel;	 : 1
novelesehez	 : 1
novelesenek	 : 1
novelesere	 : 1
novelhetjuk	 : 1
noveli	 : 4
noveli,	 : 5
noveli.	 : 1
noveliazt	 : 1
novelik,a	 : 1
novelist	 : 3
novelist's	 : 1
novelist.	 : 1
novelistic	 : 1
novelists	 : 5
novelists**	 : 1
novelists,	 : 3
novelje	 : 1
noveljek	 : 1
novella	 : 2
novella,	 : 1
novella.	 : 1
novellanemeskurty	 : 1
novellaskoteterolradnoti	 : 1
novelne	 : 1
novelnek	 : 2
novelni	 : 1
novelni.	 : 1
novels	 : 20
novels**	 : 5
novels,	 : 7
novels-	 : 1
novels.	 : 3
novels:	 : 1
novelte	 : 4
noveltek	 : 1
novelty	 : 1
november	 : 60
november's	 : 1
november)	 : 1
november,	 : 4
november.	 : 1
november1-en	 : 1
novemberben	 : 1
novemberben,	 : 1
novembereben	 : 2
novemberebenleirta,	 : 1
novembereig	 : 1
novemberi	 : 1
novembericlevelandi	 : 1
novemberre	 : 1
novenyevoktol	 : 1
noverek	 : 2
noveri	 : 2
novgorodban	 : 1
novi	 : 1
novices	 : 1
noviembre	 : 4
novorg	 : 1
novosti	 : 2
novosti.	 : 1
novosztyi	 : 3
novotel	 : 1
novum,	 : 1
now	 : 155
now!	 : 1
now!best	 : 1
now"	 : 1
now'.	 : 1
now,	 : 7
now--with	 : 1
now.	 : 7
nowak	 : 12
nowhere	 : 2
nowhere.	 : 1
noyan	 : 1
nozhai-yurt	 : 1
np	 : 1
np.com.mos	 : 1
nprm	 : 1
nps-63-84-006,	 : 1
npsr's	 : 1
npsr,	 : 1
npt	 : 7
npt".	 : 1
nr4	 : 1
nr8608,	 : 1
nra's	 : 1
nrc	 : 1
nrs10	 : 1
ns001	 : 2
nsw	 : 1
nsz	 : 18
nsz)	 : 1
nsz).	 : 16
nsz).[csurka	 : 1
nsz).[gazdasagi	 : 1
nsz).[honved	 : 1
nsz).[kadar	 : 1
nsz,	 : 2
nsz-al	 : 1
nsz-al.	 : 1
nsz-ban	 : 2
nsz-ban,	 : 1
nsz-nak	 : 4
nsz:	 : 26
nszban	 : 1
nszk	 : 3
nsznak	 : 1
nszv	 : 8
nszv).	 : 4
nszv-ban	 : 1
nszv-nak	 : 1
nszv:	 : 26
nt,	 : 2
nto	 : 2
nto's	 : 1
nto,	 : 1
ntv	 : 28
ntv's	 : 2
ntv,	 : 2
ntv.	 : 2
nuance	 : 1
nuclear	 : 118
nuclear-dealer	 : 3
nuclear-free.	 : 1
nuclear.	 : 1
nuclearweapons	 : 1
nude	 : 2
nudista,mucsaui	 : 1
nueces	 : 1
nueces|	 : 1
nuestra	 : 1
nuestro	 : 3
nuestros	 : 7
nueva	 : 9
nuevas	 : 15
nuevas**_	 : 1
nueve	 : 16
nuevo	 : 1
nuevos	 : 17
nuevos,	 : 1
nuevos.	 : 1
nugent,	 : 1
nugzar	 : 1
nuit.	 : 1
nuklearis	 : 2
nukleariseszkozoket	 : 1
nulla	 : 3
nullafole	 : 1
nullara,a	 : 1
nullasaganak	 : 1
nullszaldos	 : 2
num.	 : 6
number	 : 163
number**	 : 104
number,	 : 2
number.	 : 1
number:	 : 2
numbered,	 : 1
numbers	 : 30
numbers**	 : 1
numbers,	 : 1
numbers?	 : 1
numerical	 : 15
numerique	 : 1
numero	 : 1
numerosas	 : 1
numerous	 : 29
nun	 : 1
nuncius	 : 2
nunciuscelebralta.	 : 1
nunn	 : 13
nunn-lugar	 : 1
nuremberg	 : 3
nurnbergi	 : 1
nurnbergi-stilusu	 : 2
nurse	 : 32
nurse's	 : 6
nurse**	 : 3
nurse,	 : 2
nurse-	 : 2
nurse.	 : 3
nursery	 : 4
nurses	 : 16
nurses**	 : 7
nurses,	 : 2
nurses.	 : 5
nurses;	 : 1
nursing	 : 80
nursing**	 : 15
nursing,	 : 3
nursing-home	 : 1
nursing.	 : 5
nursing.**	 : 1
nursing:	 : 2
nursing;	 : 1
nus,	 : 1
nussbaum	 : 1
nut	 : 1
nutri	 : 5
nutrient	 : 4
nutrients.	 : 3
nutrisystem,	 : 1
nutrition	 : 10
nutrition**	 : 5
nutrition,	 : 1
nutrition:	 : 1
nutritional	 : 13
nutritious	 : 2
nutritive,	 : 1
nuts	 : 2
nutty	 : 1
nuturing	 : 2
nw	 : 1
nw**	 : 2
nw,	 : 2
nwc	 : 1
nwc.	 : 1
ny	 : 11
ny's	 : 1
ny,	 : 2
ny.	 : 1
nya.	 : 1
nyajakat	 : 1
nyajas	 : 1
nyajkent,	 : 1
nyakaba	 : 1
nyakaba.	 : 1
nyakamra	 : 1
nyakan	 : 2
nyakanal	 : 1
nyakig	 : 1
nyaknal	 : 1
nyakon	 : 1
nyakunkba	 : 1
nyakunkba]az	 : 1
nyakunkra	 : 1
nyakunkra,	 : 1
nyal	 : 1
nyalazza	 : 1
nyaldossak.	 : 1
nyaldosvan	 : 1
nyalni	 : 1
nyalogatasa.	 : 1
nyapxb8hfyknbmacmco/jmtuclcac2rheswgtycgixtqbjagmjkuede5gdk2idg6mzkusd5nky8i	 : 1
nyar	 : 6
nyara	 : 2
nyarahozkepest	 : 1
nyaraig	 : 1
nyaralasra	 : 1
nyaralasra.	 : 1
nyaralna	 : 1
nyaralni	 : 1
nyaran	 : 4
nyarara	 : 3
nyarat	 : 3
nyari	 : 2
nyaron	 : 4
nyarra",	 : 1
nyartol	 : 1
nyarvegere	 : 1
nyarvegi	 : 1
nyavalya,	 : 2
nyayavaiseshika**	 : 1
nyc	 : 6
nyc's	 : 1
nyee-nye-nye-nyee-nyee.	 : 1
nyelv	 : 6
nyelv(peldaul	 : 1
nyelv,rendszere	 : 1
nyelv.	 : 1
nyelvcsapasokkal)	 : 1
nyelve,	 : 2
nyelve?	 : 1
nyelved	 : 1
nyelveken	 : 1
nyelveket	 : 1
nyelven	 : 6
nyelven,	 : 1
nyelvenek	 : 1
nyelvere	 : 2
nyelvere,	 : 1
nyelvere.	 : 1
nyelvesz,	 : 1
nyelvet	 : 2
nyelvetol.	 : 1
nyelvezet	 : 1
nyelvhaboruval	 : 1
nyelvhez	 : 2
nyelvi	 : 8
nyelvrol	 : 1
nyelvrol,	 : 1
nyelvtorveny	 : 1
nyelvtorvenyeket?	 : 1
nyelvu	 : 3
nyelvukon	 : 1
nyelvunk	 : 1
nyelvunkelter	 : 1
nyelvunkfolyamatosan	 : 1
nyelvvel	 : 1
nyelvvizsga	 : 1
nyer,	 : 1
nyeremennyel	 : 1
nyeremenyadot	 : 1
nyeresege,	 : 1
nyereseges	 : 1
nyerhet,nyerhetne.	 : 1
nyerhetett	 : 1
nyerhetnek	 : 2
nyerhetnenek	 : 1
nyerjenek.	 : 1
nyernek.	 : 1
nyerni	 : 1
nyerni",	 : 1
nyernie	 : 1
nyeromszp	 : 1
nyert	 : 3
nyert,	 : 1
nyert.	 : 1
nyerte	 : 3
nyerte,	 : 1
nyerte.	 : 1
nyerteel	 : 1
nyertek	 : 1
nyertek.	 : 1
nyertes	 : 2
nyertesei	 : 2
nyertesei".	 : 1
nyerunk.	 : 1
nyet	 : 2
nyilaskeresztes	 : 1
nyilasok	 : 2
nyilasok&	 : 1
nyilasokat	 : 1
nyilasoknak	 : 1
nyilat-kozatnak	 : 1
nyilatkozat	 : 7
nyilatkozat,	 : 1
nyilatkozata	 : 2
nyilatkozata.	 : 1
nyilatkozataanyanyelvunk	 : 1
nyilatkozataban	 : 5
nyilatkozatabol	 : 2
nyilatkozatai	 : 1
nyilatkozataiban	 : 1
nyilatkozatairol,	 : 1
nyilatkozatat	 : 1
nyilatkozatat,	 : 1
nyilatkozatat.	 : 1
nyilatkozataval	 : 2
nyilatkozataval.	 : 1
nyilatkozatban	 : 6
nyilatkozatbanszogezte	 : 1
nyilatkozathoz,	 : 1
nyilatkozatok	 : 3
nyilatkozatok]az	 : 1
nyilatkozatot	 : 5
nyilatkozatot,	 : 2
nyilatkozatot.	 : 4
nyilatkozatra,	 : 1
nyilatkozatrakilepok	 : 1
nyilatkozattal	 : 3
nyilatkozatteteli	 : 1
nyilatkozgato	 : 1
nyilatkozhatom	 : 1
nyilatkozik	 : 2
nyilatkozik,	 : 7
nyilatkozik,hangsulyozva:	 : 2
nyilatkoznak	 : 3
nyilatkoznak.	 : 1
nyilatkozni	 : 2
nyilatkozni,	 : 2
nyilatkozni.	 : 1
nyilatkoznia.)nehany	 : 1
nyilatkozo	 : 3
nyilatkozom	 : 1
nyilatkozott	 : 2
nyilatkozott,	 : 4
nyilatkozott.	 : 1
nyilatkozott:	 : 1
nyilatkozta	 : 14
nyilatkozta,	 : 1
nyilatkoztak,	 : 1
nyilatkozva	 : 2
nyilatkozza	 : 1
nyilik	 : 3
nyilikszamukra	 : 1
nyilnak...	 : 1
nyilnek	 : 1
nyilt	 : 28
nyiltabban	 : 1
nyiltan	 : 11
nyiltdiktaturaba	 : 1
nyilteloszor	 : 1
nyiltkommunista	 : 1
nyiltlevelet	 : 1
nyiltsagat	 : 1
nyiltsaggal	 : 1
nyiltsisakrostelyaval	 : 1
nyiltszini	 : 1
nyiltvahagyja,	 : 1
nyilvan	 : 24
nyilvan,	 : 1
nyilvan.	 : 1
nyilvanitasara.	 : 1
nyilvanitasarol	 : 1
nyilvanithatjak	 : 1
nyilvanithato!][szabo	 : 1
nyilvanitja	 : 1
nyilvanitotta	 : 3
nyilvanitottak	 : 1
nyilvanitottamagat	 : 1
nyilvanos	 : 4
nyilvanos"parbajra"	 : 1
nyilvanos-e	 : 1
nyilvanosan	 : 6
nyilvanossaag	 : 1
nyilvanossag	 : 9
nyilvanossaga	 : 1
nyilvanossaga.	 : 1
nyilvanossagelott	 : 1
nyilvanossaghoz.	 : 1
nyilvanossagnak	 : 1
nyilvanossagot	 : 2
nyilvanossagot!]=regionalis	 : 1
nyilvanossagra	 : 14
nyilvanossagra.	 : 1
nyilvantart	 : 1
nyilvantartani	 : 1
nyilvantartas	 : 1
nyilvantartasa	 : 2
nyilvantartasba	 : 1
nyilvantartasmegkulonboztetese,	 : 1
nyilvantartastkeszitunk,	 : 1
nyilvantartott	 : 1
nyilvantartottlistainkon	 : 1
nyilvantartva	 : 1
nyilvanteljesen	 : 1
nyilvanul	 : 1
nyilvanvalo	 : 8
nyilvanvalo,	 : 4
nyilvanvalo.	 : 1
nyilvanvalo:	 : 2
nyilvanvaloak.	 : 1
nyilvanvaloan	 : 12
nyilvanvaloanelfogult	 : 1
nyilvanvalobb,	 : 1
nyilvanvalobb:	 : 1
nyilvanvalobban	 : 2
nyilvanvalonak	 : 1
nyilvanvalova	 : 2
nyiregyhazatol][horn	 : 1
nyiregyhazi	 : 2
nyirokcsomoi	 : 1
nyirsegi	 : 2
nyirt	 : 1
nyisd	 : 1
nyit	 : 2
nyit:	 : 1
nyitanya.	 : 2
nyitas,	 : 1
nyitja	 : 1
nyitnak	 : 1
nyitnunk	 : 1
nyitoimaja	 : 1
nyitok	 : 1
nyitott	 : 3
nyitott,	 : 1
nyitott.	 : 1
nyitotta	 : 2
nyitottak	 : 1
nyitottnak	 : 1
nyitottsaga	 : 1
nyitottsagunk	 : 1
nyitra	 : 1
nyitva	 : 1
nyizsnij-novgorodbol	 : 1
nynex	 : 2
nyo:g	 : 1
nyog	 : 1
nyogi	 : 1
nyolc	 : 14
nyolcadik	 : 1
nyolcezer	 : 1
nyolcezren	 : 1
nyolcmillio	 : 1
nyolcoras	 : 1
nyolcszazalekos	 : 2
nyolcvanas	 : 2
nyolcvanezer	 : 1
nyolcvanszorosra	 : 1
nyom	 : 1
nyoma	 : 1
nyomaban	 : 2
nyoman	 : 12
nyoman,	 : 1
nyoman,egyszeriben	 : 1
nyomanvisszatert	 : 1
nyomas	 : 5
nyomas,	 : 1
nyomas.	 : 1
nyomasa	 : 1
nyomasanak,	 : 2
nyomasara	 : 2
nyomasara.	 : 1
nyomasgyakorlo	 : 1
nyomasnak	 : 1
nyomasnak,	 : 1
nyomason,	 : 1
nyomasra	 : 2
nyomasrol,	 : 1
nyomast	 : 4
nyomastgyakorolni	 : 1
nyomasztjak	 : 1
nyomaszto	 : 1
nyomban	 : 1
nyombanazutan,	 : 1
nyomda	 : 3
nyomda,	 : 1
nyomdaba	 : 1
nyomdaban	 : 1
nyomdai	 : 1
nyomdaipari	 : 1
nyomdokaiba	 : 1
nyomja	 : 2
nyomokban	 : 1
nyomor	 : 3
nyomor].	 : 1
nyomor]az	 : 1
nyomor]tarthatoak	 : 1
nyomora	 : 1
nyomorba	 : 1
nyomorbadontesevel	 : 1
nyomorban	 : 1
nyomorban,	 : 1
nyomorbansinylodok	 : 1
nyomorgo,	 : 1
nyomorodott	 : 1
nyomortelepbol	 : 1
nyomorult	 : 1
nyomorultat	 : 1
nyomorunkkal,	 : 1
nyomorusagunk	 : 1
nyomosok	 : 1
nyomoz	 : 1
nyomozast	 : 4
nyomozast,	 : 1
nyomozati	 : 1
nyomozni,	 : 1
nyomozniezer	 : 1
nyomozo	 : 4
nyomozohatosagok	 : 1
nyomozohivatal	 : 19
nyomozohivatal)	 : 1
nyomozohivatal,	 : 1
nyomozohivatala	 : 1
nyomozohivatalaert]tegnap	 : 1
nyomozohivatalfelallitasara	 : 1
nyomozohivatalfolallitasara	 : 1
nyomozohivatallal	 : 1
nyomozohivatalra.	 : 2
nyomozohivatalrol	 : 2
nyomozohivatalt	 : 1
nyomozohivatalt,	 : 1
nyomozohivataltnevezzek	 : 1
nyomozohivatalugyeben,	 : 1
nyomozoiroda	 : 1
nyomozoszerv	 : 1
nyomozoszervfolallitasat	 : 1
nyomozzon.	 : 1
nyomta.	 : 1
nyomtalanul	 : 1
nyomtatasban	 : 1
nyomtatokkal,	 : 1
nyomtatott	 : 3
nyomukban	 : 1
nyomul	 : 1
nyomul-tak	 : 1
nyt	 : 1
nyugallomanyu	 : 1
nyugalom	 : 1
nyugat	 : 20
nyugat"	 : 2
nyugat-	 : 2
nyugat-dunantuli	 : 1
nyugat-europa	 : 3
nyugat-europa,	 : 1
nyugat-europai	 : 7
nyugat-nak	 : 1
nyugat-nemetorszag	 : 1
nyugat-nemetorszaggal	 : 1
nyugat-szlovakiaban	 : 1
nyugat-szlovakot	 : 1
nyugat.	 : 1
nyugateuropa,	 : 1
nyugati	 : 39
nyugati,	 : 1
nyugatias	 : 1
nyugatiasan	 : 1
nyugatikiadatasaert.	 : 1
nyugatipolitika	 : 1
nyugatit:	 : 1
nyugatkiszolgalok	 : 1
nyugatnemet	 : 6
nyugatnemetbundesentscha:digungesetz-ben	 : 1
nyugatnemetmarkat	 : 1
nyugaton	 : 4
nyugaton,	 : 1
nyugaton.	 : 1
nyugatra	 : 2
nyugatra.konrad	 : 1
nyugattal,	 : 1
nyugattolszlovakia	 : 1
nyugattorz	 : 1
nyugdij	 : 4
nyugdijadat]a	 : 1
nyugdijak	 : 1
nyugdijalapokba	 : 1
nyugdijam	 : 2
nyugdijanak	 : 1
nyugdijas	 : 4
nyugdijas-es	 : 1
nyugdijaskorukat...	 : 1
nyugdijasnagyapova	 : 1
nyugdijasnak	 : 1
nyugdijasok	 : 2
nyugdijasokat,	 : 1
nyugdijasokatnyomorba	 : 1
nyugdijast,	 : 1
nyugdijat	 : 2
nyugdijazasra	 : 1
nyugdijazza	 : 1
nyugdijazzak,	 : 1
nyugdijba	 : 2
nyugdijbavonulasig,	 : 1
nyugdijbiztosito	 : 2
nyugdijbotrany]majus	 : 1
nyugdijemelesre	 : 1
nyugdijfinanszirozas	 : 1
nyugdijjarulekot	 : 1
nyugdijjarulekot10	 : 1
nyugdijkorhatar	 : 8
nyugdijkorhatart	 : 1
nyugdijkorhatart.a	 : 1
nyugdijpenztar	 : 1
nyugdijpenztarakba	 : 1
nyugdijra	 : 1
nyugdijreformrol	 : 1
nyugdijrendszer	 : 6
nyugdijrendszer,	 : 1
nyugdijrendszerben	 : 1
nyugdijrendszert	 : 1
nyugdijukhoz	 : 1
nyugdikorhatar	 : 1
nyuge.	 : 1
nyugodt	 : 2
nyugodtak	 : 2
nyugodtan	 : 3
nyugodtanaposztrofalhatunk	 : 1
nyugodtanpalyazhatnak	 : 1
nyugszik.	 : 1
nyugtaazoknak,	 : 1
nyugtalankodnak,	 : 1
nyugtatjaaz	 : 1
nyugtazott.	 : 1
nyugton,	 : 1
nyugvo	 : 4
nyugvopontra	 : 2
nyujt	 : 10
nyujt".	 : 1
nyujt"?	 : 1
nyujt,	 : 1
nyujtana	 : 5
nyujtanak	 : 5
nyujtani	 : 1
nyujtani,	 : 1
nyujtani.	 : 1
nyujtani.valamint	 : 1
nyujtaniuk	 : 1
nyujtjak	 : 1
nyujto	 : 1
nyujtott	 : 8
nyujtott,	 : 1
nyujtotta	 : 2
nyujtottak	 : 1
nyujtson	 : 2
nyul	 : 4
nyulik	 : 1
nyuljak	 : 1
nyulkalt	 : 1
nyullal!marmost:	 : 1
nyulnak.mindezek	 : 1
nyulni	 : 2
nyulni,	 : 1
nyult	 : 1
nz	 : 5
nz$544	 : 1
nz.ac.ait	 : 1
nz.ac.auckland	 : 4
nz.ac.auckland.acc.davidson	 : 1
